mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nn__activation,param_nn__alpha,param_nn__batch_size,param_nn__hidden_layer_sizes,param_nn__learning_rate_init,param_nn__max_iter,param_nn__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
959.7830022335053,236.84647060058106,1.03450665473938,0.33663859101732213,relu,0.0002,35,"(150, 100, 50)",0.001,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.001, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1538.4103808425598,-1566.631231483394,-1607.9096326548909,-1586.884459018503,-1583.3648460381942,-1576.6401100075084,23.193281998339245,21
963.3962010383606,242.51361159591818,0.8560193061828614,0.08248312417891702,relu,0.0002,35,"(150, 100, 50)",0.001,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.001, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1538.4103808425598,-1566.631231483394,-1607.9096326548909,-1586.884459018503,-1583.3648460381942,-1576.6401100075084,23.193281998339245,21
1560.7721107959746,395.1781866520399,1.4242465496063232,0.5715667820776487,relu,0.0001,32,"(160, 120, 60)",0.0005,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0001, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.0005, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1608.0958658650457,-1563.5279452294424,-1607.0071342767058,-1551.505513876035,-1556.536160927879,-1577.3345240350216,24.968200743276398,23
1540.5318430423736,394.0915484826459,0.9410498142242432,0.07174445293588491,relu,0.0001,32,"(160, 120, 60)",0.0005,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0001, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.0005, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1608.0958658650457,-1563.5279452294424,-1607.0071342767058,-1551.505513876035,-1556.536160927879,-1577.3345240350216,24.968200743276398,23
660.9607640266419,114.38648430198148,0.7990186214447021,0.09122628569955,relu,0.0001,32,"(150, 100, 50)",0.002,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0001, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1585.3239427071323,-1592.9097294143228,-1576.5545675719281,-1542.8423507303185,-1591.5444141718413,-1577.8350009191086,18.425008965179035,25
669.4594160079956,125.38608363871552,0.7603981494903564,0.07761371708035106,relu,0.0001,32,"(150, 100, 50)",0.002,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0001, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1585.3239427071323,-1592.9097294143228,-1576.5545675719281,-1542.8423507303185,-1591.5444141718413,-1577.8350009191086,18.425008965179035,25
833.2295488357544,137.97473681478706,1.1119704246520996,0.38704055798181936,relu,0.0001,32,"(160, 120, 60)",0.002,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0001, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1552.9420932878286,-1598.134853464223,-1602.8400619183303,-1550.874902234884,-1585.7431468564919,-1578.1070115523514,22.117909863161636,27
814.3650630950928,133.90707904472765,1.0434555053710937,0.3576888575409223,relu,0.0001,32,"(160, 120, 60)",0.002,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0001, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1552.9420932878286,-1598.134853464223,-1602.8400619183303,-1550.874902234884,-1585.7431468564919,-1578.1070115523514,22.117909863161636,27
1509.7947939872743,123.16025885223499,0.8513481140136718,0.18029292549809112,relu,0.0002,32,"(160, 120, 60)",0.0005,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.0005, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1590.1178469386393,-1582.7421765875595,-1615.7123501142194,-1529.0358738464472,-1574.1675884505078,-1578.3551671874745,28.295208477633704,29
1494.5716319084167,122.74898730793825,0.8075422286987305,0.07966714841325921,relu,0.0002,32,"(160, 120, 60)",0.0005,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.0005, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1590.1178469386393,-1582.7421765875595,-1615.7123501142194,-1529.0358738464472,-1574.1675884505078,-1578.3551671874745,28.295208477633704,29
